JURISDICTION_CODE,NAME,YEAR,RESIDENTIAL,OPENSPACE,COMMERCIAL,INDUSTRIAL,PERSONALPROP,TOTAL,RO,CIP
001,Abington,2003,"14,091,729",0,"1,634,200","203,531","352,540","16,282,000",86.55,13.45
001,Abington,2004,"16,190,475",0,"1,467,471","199,513","347,702","18,205,161",88.93,11.07
001,Abington,2005,"17,058,536",0,"1,725,512","234,563","306,809","19,325,420",88.27,11.73
001,Abington,2006,"17,788,540",0,"1,970,248","258,294","305,607","20,322,689",87.53,12.47
001,Abington,2007,"19,117,571",0,"2,209,809","251,847","317,854","21,897,081",87.31,12.69
001,Abington,2008,"19,292,140",0,"2,358,395","265,473","361,778","22,277,786",86.60,13.40
002,Acton,2003,"36,590,043",0,"3,601,992","1,241,819","486,956","41,920,810",87.28,12.72
002,Acton,2004,"40,670,679",0,"3,956,132","1,384,771","689,566","46,701,148",87.09,12.91
002,Acton,2005,"42,855,278",0,"3,965,401","1,363,670","734,190","48,918,539",87.61,12.39
002,Acton,2006,"48,388,760",0,"4,524,519","1,555,226","590,910","55,059,415",87.88,12.12
002,Acton,2007,"50,094,321",0,"5,336,154","1,684,866","604,000","57,719,341",86.79,13.21
002,Acton,2008,"51,324,892",0,"5,512,885","1,716,493","718,409","59,272,679",86.59,13.41
003,Acushnet,2003,"8,290,981",0,"387,661","339,835","298,013","9,316,490",88.99,11.01
003,Acushnet,2004,"8,921,375",0,"439,919","533,639","260,430","10,155,363",87.85,12.15
003,Acushnet,2005,"9,596,142",0,"366,034","460,488","223,603","10,646,267",90.14,9.86
003,Acushnet,2006,"9,980,913",0,"360,231","375,565","198,610","10,915,319",91.44,8.56
003,Acushnet,2007,"10,585,823",0,"369,414","361,552","196,150","11,512,939",91.95,8.05
003,Acushnet,2008,"10,798,074",0,"387,632","380,351","230,513","11,796,570",91.54,8.46
004,Adams,2003,"4,485,390",0,"584,414","407,101","324,636","5,801,541",77.31,22.69
004,Adams,2004,"4,707,412",0,"597,274","427,333","335,317","6,067,336",77.59,22.41
004,Adams,2005,"5,148,537",0,"621,609","438,033","337,397","6,545,576",78.66,21.34
004,Adams,2006,"5,268,654",0,"646,356","449,674","311,044","6,675,728",78.92,21.08
004,Adams,2007,"5,798,557",0,"706,922","497,501","346,773","7,349,753",78.89,21.11
004,Adams,2008,"5,985,232",0,"666,702","521,904","341,251","7,515,089",79.64,20.36
005,Agawam,2003,"19,694,097",0,"4,249,884","6,645,206","2,605,508","33,194,695",59.33,40.67
005,Agawam,2004,"21,138,113",0,"4,465,889","5,966,605","3,611,218","35,181,825",60.08,39.92
005,Agawam,2005,"22,530,691",0,"5,610,169","6,156,878","3,671,606","37,969,344",59.34,40.66
005,Agawam,2006,"23,466,856",0,"6,203,753","6,632,569","3,100,473","39,403,651",59.56,40.44
005,Agawam,2007,"25,234,456",0,"6,100,445","6,565,265","2,974,145","40,874,311",61.74,38.26
005,Agawam,2008,"26,298,504",0,"6,143,989","6,629,662","3,010,887","42,083,042",62.49,37.51
006,Alford,2003,"787,670",0,"10,960",140,"15,272","814,042",96.76,3.24
006,Alford,2004,"817,595",0,"9,660",140,"19,996","847,391",96.48,3.52
006,Alford,2005,"868,642",0,"9,432",0,"16,564","894,638",97.09,2.91
006,Alford,2006,"900,134",0,"9,342",136,"17,126","926,738",97.13,2.87
006,Alford,2007,"941,894",0,"9,144",137,"20,540","971,715",96.93,3.07
006,Alford,2008,"988,956",0,"9,814",113,"14,704","1,013,587",97.57,2.43
007,Amesbury,2003,"19,756,264",0,"1,949,704","1,435,018","603,745","23,744,731",83.20,16.80
007,Amesbury,2004,"21,416,434",0,"1,974,932","1,353,037","556,162","25,300,565",84.65,15.35
007,Amesbury,2005,"22,398,003",0,"1,820,710","1,231,114","455,740","25,905,567",86.46,13.54
007,Amesbury,2006,"23,970,672",0,"1,830,194","1,244,569","440,695","27,486,130",87.21,12.79
007,Amesbury,2007,"24,279,176",0,"2,070,861","1,529,001","480,759","28,359,797",85.61,14.39
007,Amesbury,2008,"25,738,160",0,"2,571,805","1,747,007","550,012","30,606,984",84.09,15.91
008,Amherst,2003,"21,719,548",0,"2,278,072","79,187","708,209","24,785,016",87.63,12.37
008,Amherst,2004,"22,750,342",0,"2,287,047","70,117","747,955","25,855,461",87.99,12.01
008,Amherst,2005,"25,641,716",0,"2,270,532","74,666","615,689","28,602,603",89.65,10.35
008,Amherst,2006,"27,597,486",0,"2,225,570","73,806","639,122","30,535,984",90.38,9.62
008,Amherst,2007,"28,983,904",0,"2,311,801","75,446","708,900","32,080,051",90.35,9.65
008,Amherst,2008,"30,228,150",0,"2,287,655","77,082","802,271","33,395,158",90.52,9.48
009,Andover,2003,"51,960,392","103,870","10,605,091","11,333,086","1,828,662","75,831,101",68.66,31.34
009,Andover,2004,"54,450,344","100,436","10,642,004","12,021,397","1,950,159","79,164,340",68.91,31.09
009,Andover,2005,"57,782,211","108,250","10,366,015","11,443,486","1,967,848","81,667,810",70.89,29.11
009,Andover,2006,"62,759,119","159,337","9,990,212","11,409,435","1,690,901","86,009,004",73.15,26.85
009,Andover,2007,"65,881,296","141,575","10,683,126","11,734,646","1,820,640","90,261,283",73.15,26.85
009,Andover,2008,"67,849,371","139,540","11,193,954","12,287,402","2,607,452","94,077,719",72.27,27.73
010,Arlington,2003,"56,962,049","1,037","3,257,885","230,446","795,428","61,246,845",93.01,6.99
010,Arlington,2004,"59,880,691",0,"2,883,991","199,945","775,513","63,740,140",93.95,6.05
010,Arlington,2005,"61,820,467",0,"2,954,889","205,582","739,032","65,719,970",94.07,5.93
010,Arlington,2006,"69,428,973",0,"3,056,013","229,044","811,771","73,525,801",94.43,5.57
010,Arlington,2007,"72,656,089",0,"3,171,347","238,535","712,380","76,778,351",94.63,5.37
010,Arlington,2008,"74,394,576",0,"3,364,378","248,917","805,505","78,813,376",94.39,5.61
011,Ashburnham,2003,"6,226,611","3,363","138,832","53,803","45,036","6,467,645",96.33,3.67
011,Ashburnham,2004,"6,204,785","2,905","119,078","46,990","39,611","6,413,369",96.79,3.21
011,Ashburnham,2005,"7,352,551","4,090","140,088","55,783","36,731","7,589,243",96.94,3.06
011,Ashburnham,2006,"7,722,949","4,167","145,219","63,510","44,308","7,980,153",96.83,3.17
011,Ashburnham,2007,"8,306,316","4,258","164,384","60,299","47,927","8,583,184",96.82,3.18
011,Ashburnham,2008,"8,368,218","4,255","165,592","57,871","61,794","8,657,730",96.71,3.29
012,Ashby,2003,"2,913,873",0,"96,229","9,200","43,712","3,063,014",95.13,4.87
012,Ashby,2004,"3,258,743",0,"100,139","11,873","48,517","3,419,272",95.31,4.69
012,Ashby,2005,"3,319,796",0,"96,319","12,657","46,218","3,474,990",95.53,4.47
012,Ashby,2006,"3,458,279",0,"92,706","12,285","43,561","3,606,831",95.88,4.12
012,Ashby,2007,"3,892,437",0,"142,198","13,702","46,699","4,095,036",95.05,4.95
012,Ashby,2008,"3,837,578",0,"141,788","12,710","47,884","4,039,960",94.99,5.01
013,Ashfield,2003,"2,001,185",0,"109,753","19,306","62,234","2,192,478",91.28,8.72
013,Ashfield,2004,"2,050,855",0,"102,840","18,195","65,351","2,237,241",91.67,8.33
013,Ashfield,2005,"2,183,560",0,"109,212","19,133","60,117","2,372,022",92.05,7.95
013,Ashfield,2006,"2,240,137",0,"104,356","20,865","52,720","2,418,078",92.64,7.36
013,Ashfield,2007,"2,372,512",0,"105,776","20,662","66,156","2,565,106",92.49,7.51
013,Ashfield,2008,"2,624,615",0,"108,758","22,794","64,176","2,820,343",93.06,6.94
014,Ashland,2003,"20,496,271","160,320","1,041,760","715,336","344,957","22,758,644",90.76,9.24
014,Ashland,2004,"22,117,139","130,489","1,124,044","728,673","406,784","24,507,129",90.78,9.22
014,Ashland,2005,"24,364,998","138,752","1,254,631","743,688","430,510","26,932,579",90.98,9.02
014,Ashland,2006,"26,715,212","17,892","1,439,795","519,113","443,952","29,135,964",91.75,8.25
014,Ashland,2007,"27,736,859","10,522","1,473,193","553,352","455,225","30,229,151",91.79,8.21
014,Ashland,2008,"28,491,786","9,525","1,518,064","575,094","506,950","31,101,419",91.64,8.36
015,Athol,2003,"5,356,790",0,"509,638","198,021","215,770","6,280,219",85.30,14.70
015,Athol,2004,"5,699,227",0,"482,291","175,577","145,852","6,502,947",87.64,12.36
015,Athol,2005,"6,035,581",0,"464,821","161,159","128,711","6,790,272",88.89,11.11
015,Athol,2006,"6,427,899",0,"464,889","155,889","124,352","7,173,029",89.61,10.39
015,Athol,2007,"7,791,608",0,"547,023","167,683","143,795","8,650,109",90.08,9.92
015,Athol,2008,"8,016,593",0,"558,640","174,437","148,377","8,898,047",90.09,9.91
016,Attleboro,2003,"27,509,015",0,"5,149,700","2,834,671","1,433,789","36,927,175",74.50,25.50
016,Attleboro,2004,"29,337,020",0,"5,459,142","3,095,722","1,770,164","39,662,048",73.97,26.03
016,Attleboro,2005,"32,895,710",0,"5,151,125","2,847,511","1,364,553","42,258,899",77.84,22.16
016,Attleboro,2006,"35,245,075",0,"4,937,233","2,751,639","1,362,674","44,296,621",79.57,20.43
016,Attleboro,2007,"36,796,938",0,"5,166,491","3,352,272","1,438,056","46,753,757",78.70,21.30
