JURISDICTIONCODE,NAME,YEAR,RESIDENTIAL,OPENSPACE,COMMERCIAL,INDUSTRIAL,PERSONALPROP,TOTAL,RO,CIP
001,Abington,2009,"21,082,103",0,"2,641,578","303,976","450,619","24,478,276",86.13,13.87
001,Abington,2010,"21,846,515",0,"2,861,285","304,765","514,680","25,527,245",85.58,14.42
001,Abington,2011,"22,877,359",0,"3,050,037","310,909","646,622","26,884,927",85.09,14.91
001,Abington,2012,"23,178,847",0,"3,055,774","321,921","572,770","27,129,312",85.44,14.56
001,Abington,2013,"23,969,410",0,"3,143,844","338,378","588,912","28,040,544",85.48,14.52
001,Abington,2014,"24,214,898",0,"3,288,715","352,483","589,105","28,445,201",85.13,14.87
001,Abington,2015,"25,158,309",0,"3,230,867","347,667","602,886","29,339,729",85.75,14.25
001,Abington,2016,"27,247,590",0,"3,376,425","314,065","657,827","31,595,907",86.24,13.76
002,Acton,2009,"53,769,049",0,"5,559,306","1,711,118","968,774","62,008,247",86.71,13.29
002,Acton,2010,"55,769,176",0,"5,497,569","1,675,574","1,110,816","64,053,135",87.07,12.93
002,Acton,2011,"57,398,208",0,"5,590,238","1,644,477","1,192,268","65,825,191",87.20,12.80
002,Acton,2012,"59,085,091",0,"5,550,450","1,703,587","1,211,627","67,550,755",87.47,12.53
002,Acton,2013,"61,275,263",0,"5,976,485","1,798,426","1,220,951","70,271,125",87.20,12.80
002,Acton,2014,"63,172,698",0,"5,949,040","1,805,745","1,353,894","72,281,377",87.40,12.60
002,Acton,2015,"65,694,136",0,"5,785,869","1,740,505","1,184,106","74,404,616",88.29,11.71
002,Acton,2016,"68,390,226",0,"6,081,020","1,757,470","1,348,630","77,577,346",88.16,11.84
003,Acushnet,2009,"11,164,636",0,"404,891","391,876","294,224","12,255,627",91.10,8.90
003,Acushnet,2010,"11,551,731",0,"430,929","366,522","335,047","12,684,229",91.07,8.93
003,Acushnet,2011,"11,872,193",0,"453,670","373,037","373,841","13,072,741",90.82,9.18
003,Acushnet,2012,"12,200,222",0,"491,871","387,385","447,308","13,526,786",90.19,9.81
003,Acushnet,2013,"12,517,607",0,"529,951","409,139","498,326","13,955,023",89.70,10.30
003,Acushnet,2014,"12,934,679",0,"566,480","394,081","549,758","14,444,998",89.54,10.46
003,Acushnet,2015,"13,343,852",0,"588,217","403,879","624,426","14,960,374",89.19,10.81
003,Acushnet,2016,"14,098,060",0,"601,139","416,795","696,089","15,812,083",89.16,10.84
004,Adams,2009,"6,291,215",0,"692,019","545,259","429,347","7,957,840",79.06,20.94
004,Adams,2010,"6,290,748",0,"625,539","499,283","396,873","7,812,443",80.52,19.48
004,Adams,2011,"6,616,422",0,"648,160","523,077","410,307","8,197,966",80.71,19.29
004,Adams,2012,"7,082,262",0,"695,169","566,323","452,072","8,795,826",80.52,19.48
004,Adams,2013,"7,029,068",0,"709,379","565,641","467,335","8,771,423",80.14,19.86
004,Adams,2014,"7,694,799",0,"799,004","599,402","510,966","9,604,171",80.12,19.88
004,Adams,2015,"8,290,914",0,"866,526","677,750","543,261","10,378,451",79.89,20.11
004,Adams,2016,"8,467,474",0,"911,712","726,278","624,556","10,730,020",78.91,21.09
005,Agawam,2009,"27,624,866",0,"6,226,323","6,030,292","2,740,846","42,622,327",64.81,35.19
005,Agawam,2010,"28,786,614",0,"6,435,977","6,236,613","2,802,625","44,261,829",65.04,34.96
005,Agawam,2011,"29,881,875",0,"6,454,974","6,273,258","2,994,978","45,605,085",65.52,34.48
005,Agawam,2012,"30,887,173",0,"6,688,174","6,243,820","3,314,339","47,133,506",65.53,34.47
005,Agawam,2013,"32,014,931",0,"6,826,799","5,985,464","5,231,141","50,058,335",63.96,36.04
005,Agawam,2014,"31,856,275",0,"6,982,326","6,015,547","6,884,755","51,738,903",61.57,38.43
005,Agawam,2015,"32,368,273",0,"7,078,707","6,089,191","8,228,598","53,764,769",60.20,39.80
005,Agawam,2016,"33,761,538",0,"7,656,694","5,631,696","8,325,903","55,375,831",60.97,39.03
006,Alford,2009,"1,036,495",0,"8,861",117,"17,525","1,062,998",97.51,2.49
006,Alford,2010,"1,093,136",0,"9,233",124,"18,486","1,120,979",97.52,2.48
006,Alford,2011,"1,066,414",0,"8,840",118,"16,154","1,091,526",97.70,2.30
006,Alford,2012,"1,105,551",0,"7,031",121,"16,660","1,129,363",97.89,2.11
006,Alford,2013,"1,116,095",0,"6,967",131,"16,826","1,140,019",97.90,2.10
006,Alford,2014,"1,131,870",0,"7,048",129,"17,831","1,156,878",97.84,2.16
006,Alford,2015,"1,140,102",0,"7,334",129,"17,908","1,165,473",97.82,2.18
006,Alford,2016,"1,229,941",0,"7,774",138,"19,919","1,257,772",97.79,2.21
007,Amesbury,2009,"28,053,569",0,"2,411,931","1,603,404","614,549","32,683,453",85.83,14.17
007,Amesbury,2010,"29,007,565",0,"2,557,154","1,690,962","642,237","33,897,918",85.57,14.43
007,Amesbury,2011,"28,673,425",0,"2,549,108","1,802,731","1,143,570","34,168,834",83.92,16.08
007,Amesbury,2012,"29,524,649",0,"2,619,994","1,804,037","1,286,868","35,235,548",83.79,16.21
007,Amesbury,2013,"29,928,804",0,"2,806,127","1,926,447","1,263,032","35,924,410",83.31,16.69
007,Amesbury,2014,"30,712,526",0,"2,898,136","1,994,021","1,281,848","36,886,531",83.26,16.74
007,Amesbury,2015,"31,804,273",0,"2,858,016","1,970,272","1,244,900","37,877,461",83.97,16.03
007,Amesbury,2016,"32,678,536",0,"2,894,160","1,980,088","1,327,730","38,880,514",84.05,15.95
