DOR Code,Municipality,Year,Single Family Values,Single Family Parcels,Average Single Family Value ,Single Family Tax Bill*,Rank**
001,Abington,2009,1244133700.00 ,3683.00 ,337804.00 ,4185.00 ,120
001,Abington,2010,1151315800.00 ,3687.00 ,312264.00 ,4328.00 ,119
001,Abington,2011,1105035600.00 ,3707.00 ,298094.00 ,4513.00 ,112
001,Abington,2012,1114967400.00 ,3723.00 ,299481.00 ,4600.00 ,120
001,Abington,2013,1071556100.00 ,3729.00 ,287357.00 ,4756.00 ,118
001,Abington,2014,1051330700.00 ,3740.00 ,281104.00 ,4832.00 ,122
001,Abington,2015,1107867300.00 ,3750.00 ,295431.00 ,5022.00 ,124
001,Abington,2016,1137181200.00 ,3762.00 ,302281.00 ,5420.00 ,115
001,Abington,2017,1214814600.00 ,3767.00 ,322489.00 ,5918.00 ,
002,Acton,2009,2461210600.00 ,4850.00 ,507466.00 ,8388.00 ,16
002,Acton,2010,2497527500.00 ,4877.00 ,512103.00 ,8767.00 ,16
002,Acton,2011,2445404100.00 ,4886.00 ,500492.00 ,9049.00 ,16
002,Acton,2012,2440410000.00 ,4889.00 ,499163.00 ,9259.00 ,16
002,Acton,2013,2478691500.00 ,4906.00 ,505237.00 ,9650.00 ,15
002,Acton,2014,2486525900.00 ,4919.00 ,505494.00 ,9832.00 ,16
002,Acton,2015,2617261000.00 ,4923.00 ,531639.00 ,10128.00 ,15
002,Acton,2016,2666545100.00 ,4939.00 ,539896.00 ,10382.00 ,16
002,Acton,2017,2776746700.00 ,4948.00 ,561186.00 ,10696.00 ,
003,Acushnet,2009,1009855900.00 ,3197.00 ,315876.00 ,3048.00 ,242
003,Acushnet,2010,962289700.00 ,3204.00 ,300340.00 ,3145.00 ,237
003,Acushnet,2011,904092900.00 ,3207.00 ,281912.00 ,3217.00 ,240
003,Acushnet,2012,851324800.00 ,3211.00 ,265128.00 ,3306.00 ,242
003,Acushnet,2013,826298200.00 ,3220.00 ,256614.00 ,3380.00 ,243
003,Acushnet,2014,809177400.00 ,3230.00 ,250519.00 ,3495.00 ,242
003,Acushnet,2015,818098100.00 ,3253.00 ,251490.00 ,3591.00 ,242
