DOR Code,Municipality,Fiscal Year,Residential,Open Space,Commercial,Industrial,Personal Property
001,Abington,2003,16.35,0.00,16.35,16.35,16.35
001,Abington,2004,12.18,0.00,12.18,12.18,12.18
001,Abington,2005,10.81,0.00,10.81,10.81,10.81
001,Abington,2006,10.24,0.00,10.24,10.24,10.24
001,Abington,2007,10.80,0.00,10.80,10.80,10.80
001,Abington,2008,11.14,0.00,11.14,11.14,11.14
001,Abington,2009,12.39,0.00,12.39,12.39,12.39
001,Abington,2010,13.86,0.00,13.86,13.86,13.86
001,Abington,2011,15.14,0.00,15.14,15.14,15.14
001,Abington,2012,15.36,0.00,15.36,15.36,15.36
001,Abington,2013,16.55,0.00,16.55,16.55,16.55
001,Abington,2014,17.19,0.00,17.19,17.19,17.19
001,Abington,2015,17.00,0.00,17.00,17.00,17.00
001,Abington,2016,17.93,0.00,17.93,17.93,17.93
001,Abington,2017,18.35,0.00,18.35,18.35,18.35
002,Acton,2003,13.55,0.00,13.55,13.55,13.55
002,Acton,2004,14.03,0.00,14.03,14.03,14.03
002,Acton,2005,13.81,0.00,13.81,13.81,13.81
002,Acton,2006,14.58,0.00,14.58,14.58,14.58
002,Acton,2007,14.62,0.00,14.62,14.62,14.62
002,Acton,2008,15.39,0.00,15.39,15.39,15.39
002,Acton,2009,16.53,0.00,16.53,16.53,16.53
002,Acton,2010,17.12,0.00,17.12,17.12,17.12
002,Acton,2011,18.08,0.00,18.08,18.08,18.08
002,Acton,2012,18.55,0.00,18.55,18.55,18.55
002,Acton,2013,19.10,0.00,19.10,19.10,19.10
002,Acton,2014,19.45,0.00,19.45,19.45,19.45
002,Acton,2015,19.05,0.00,19.05,19.05,19.05
002,Acton,2016,19.23,0.00,19.23,19.23,19.23
002,Acton,2017,19.06,0.00,19.06,19.06,19.06
003,Acushnet,2003,15.83,0.00,19.39,19.39,19.39
003,Acushnet,2004,11.76,0.00,15.11,15.11,15.11
003,Acushnet,2005,10.90,0.00,12.71,12.71,12.71
003,Acushnet,2006,9.64,0.00,11.22,11.22,11.22
003,Acushnet,2007,9.19,0.00,10.69,10.69,10.69
003,Acushnet,2008,9.25,0.00,11.24,11.24,11.24
003,Acushnet,2009,9.65,0.00,11.76,11.76,11.76
003,Acushnet,2010,10.47,0.00,12.81,12.81,12.81
003,Acushnet,2011,11.41,0.00,13.94,13.94,13.94
003,Acushnet,2012,12.47,0.00,15.23,15.23,15.23
003,Acushnet,2013,13.17,0.00,16.84,16.84,16.84
003,Acushnet,2014,13.95,0.00,17.85,17.85,17.85
003,Acushnet,2015,14.28,0.00,18.28,18.28,18.28
003,Acushnet,2016,14.53,0.00,18.60,18.60,18.60
003,Acushnet,2017,14.44,0.00,18.57,18.57,18.57
004,Adams,2003,16.31,0.00,20.11,20.11,20.11
004,Adams,2004,17.03,0.00,20.98,20.98,20.98
004,Adams,2005,17.56,0.00,21.58,21.58,21.58
004,Adams,2006,13.84,0.00,19.97,19.97,19.97
004,Adams,2007,15.21,0.00,21.96,21.96,21.96
004,Adams,2008,15.02,0.00,20.68,20.68,20.68
004,Adams,2009,15.36,0.00,20.22,20.22,20.22
004,Adams,2010,15.33,0.00,18.19,18.19,18.19
004,Adams,2011,16.00,0.00,18.97,18.97,18.97
004,Adams,2012,17.26,0.00,20.47,20.47,20.47
004,Adams,2013,18.25,0.00,21.67,21.67,21.67
004,Adams,2014,19.95,0.00,23.69,23.69,23.69
004,Adams,2015,21.37,0.00,25.38,25.38,25.38
004,Adams,2016,21.39,0.00,26.00,26.00,26.00
004,Adams,2017,21.37,0.00,24.55,24.55,24.55
005,Agawam,2003,14.71,0.00,23.39,23.39,23.39
005,Agawam,2004,14.75,0.00,24.08,24.08,24.08
005,Agawam,2005,13.45,0.00,27.73,27.73,27.73
005,Agawam,2006,11.92,0.00,25.93,25.93,25.93
005,Agawam,2007,11.82,0.00,25.80,25.80,25.80
005,Agawam,2008,11.74,0.00,25.64,25.64,25.64
005,Agawam,2009,12.07,0.00,26.04,26.04,26.04
005,Agawam,2010,12.94,0.00,27.07,27.07,27.07
005,Agawam,2011,14.00,0.00,28.32,28.32,28.32
005,Agawam,2012,14.40,0.00,28.46,28.46,28.46
005,Agawam,2013,15.60,0.00,27.79,27.79,27.79
005,Agawam,2014,15.55,0.00,27.93,27.93,27.93
005,Agawam,2015,15.74,0.00,28.29,28.29,28.29
005,Agawam,2016,16.18,0.00,29.98,29.98,29.98
005,Agawam,2017,16.31,0.00,31.12,31.12,31.12
006,Alford,2003,6.65,0.00,6.65,6.65,6.65
006,Alford,2004,6.65,0.00,6.65,6.65,6.65
006,Alford,2005,4.95,0.00,4.95,4.95,4.95
006,Alford,2006,4.95,0.00,4.95,4.95,4.95
006,Alford,2007,5.00,0.00,5.00,5.00,5.00
006,Alford,2008,4.10,0.00,4.10,4.10,4.10
006,Alford,2009,4.25,0.00,4.25,4.25,4.25
006,Alford,2010,4.50,0.00,4.50,4.50,4.50
006,Alford,2011,4.30,0.00,4.30,4.30,4.30
006,Alford,2012,4.40,0.00,4.40,4.40,4.40
006,Alford,2013,4.35,0.00,4.35,4.35,4.35
006,Alford,2014,4.30,0.00,4.30,4.30,4.30
006,Alford,2015,4.30,0.00,4.30,4.30,4.30
006,Alford,2016,4.60,0.00,4.60,4.60,4.60
006,Alford,2017,5.10,0.00,5.10,5.10,5.10
007,Amesbury,2003,17.20,0.00,17.20,17.20,17.20
007,Amesbury,2004,15.76,0.00,15.76,15.76,15.76
007,Amesbury,2005,14.24,0.00,14.24,14.24,14.24
007,Amesbury,2006,13.59,0.00,13.59,13.59,13.59
007,Amesbury,2007,13.16,0.00,15.47,15.47,15.47
007,Amesbury,2008,14.60,0.00,17.20,17.20,17.20
007,Amesbury,2009,16.53,0.00,16.53,16.53,16.53
007,Amesbury,2010,17.77,0.00,17.77,17.77,17.77
007,Amesbury,2011,18.46,0.00,18.46,18.46,18.46
007,Amesbury,2012,19.13,0.00,19.13,19.13,19.13
007,Amesbury,2013,20.24,0.00,20.24,20.24,20.24
007,Amesbury,2014,20.97,0.00,20.97,20.97,20.97
007,Amesbury,2015,20.54,0.00,20.54,20.54,20.54
007,Amesbury,2016,20.28,0.00,20.28,20.28,20.28
007,Amesbury,2017,19.95,0.00,19.95,19.95,19.95
008,Amherst,2003,17.11,0.00,17.11,17.11,17.11
008,Amherst,2004,17.40,0.00,17.40,17.40,17.40
008,Amherst,2005,16.69,0.00,16.69,16.69,16.69
008,Amherst,2006,15.06,0.00,15.06,15.06,15.06
008,Amherst,2007,15.68,0.00,15.68,15.68,15.68
008,Amherst,2008,16.02,0.00,16.02,16.02,16.02
008,Amherst,2009,15.82,0.00,15.82,15.82,15.82
008,Amherst,2010,16.95,0.00,16.95,16.95,16.95
008,Amherst,2011,18.20,0.00,18.20,18.20,18.20
008,Amherst,2012,19.74,0.00,19.74,19.74,19.74
008,Amherst,2013,20.39,0.00,20.39,20.39,20.39
008,Amherst,2014,20.97,0.00,20.97,20.97,20.97
008,Amherst,2015,20.54,0.00,20.54,20.54,20.54
008,Amherst,2016,21.22,0.00,21.22,21.22,21.22
008,Amherst,2017,21.83,0.00,21.83,21.83,21.83
009,Andover,2003,11.63,11.63,16.54,16.54,16.54
009,Andover,2004,11.47,11.47,18.13,18.13,18.13
009,Andover,2005,11.51,11.51,18.00,18.00,18.00
009,Andover,2006,11.40,11.40,17.95,17.95,17.95
009,Andover,2007,11.25,11.25,18.33,18.33,18.33
009,Andover,2008,11.69,11.69,19.13,19.13,19.13
009,Andover,2009,12.16,12.16,19.98,19.98,19.98
009,Andover,2010,13.19,13.19,21.33,21.33,21.33
009,Andover,2011,14.12,14.12,22.46,22.46,22.46
009,Andover,2012,14.15,14.15,23.54,23.54,23.54
009,Andover,2013,14.51,14.51,24.26,24.26,24.26
009,Andover,2014,15.18,15.18,25.25,25.25,25.25
009,Andover,2015,14.97,14.97,24.77,24.77,24.77
009,Andover,2016,14.82,14.82,25.99,25.99,25.99
009,Andover,2017,15.18,15.18,26.46,26.46,26.46
010,Arlington,2003,13.61,13.61,13.61,13.61,13.61
010,Arlington,2004,10.64,0.00,10.64,10.64,10.64
010,Arlington,2005,10.94,0.00,10.94,10.94,10.94
010,Arlington,2006,11.34,0.00,11.34,11.34,11.34
010,Arlington,2007,10.95,0.00,10.95,10.95,10.95
010,Arlington,2008,11.45,0.00,11.45,11.45,11.45
010,Arlington,2009,11.92,0.00,11.92,11.92,11.92
010,Arlington,2010,12.11,0.00,12.11,12.11,12.11
010,Arlington,2011,12.41,0.00,12.41,12.41,12.41
010,Arlington,2012,13.66,0.00,13.66,13.66,13.66
010,Arlington,2013,13.61,0.00,13.61,13.61,13.61
010,Arlington,2014,13.79,0.00,13.79,13.79,13.79
010,Arlington,2015,13.55,0.00,13.55,13.55,13.55
010,Arlington,2016,12.80,0.00,12.80,12.80,12.80
010,Arlington,2017,12.56,0.00,12.56,12.56,12.56
011,Ashburnham,2003,15.42,15.42,15.42,15.42,15.42
011,Ashburnham,2004,13.32,13.32,13.32,13.32,13.32
011,Ashburnham,2005,13.56,13.56,13.56,13.56,13.56
011,Ashburnham,2006,12.76,12.76,12.76,12.76,12.76
011,Ashburnham,2007,13.00,13.00,13.00,13.00,13.00
011,Ashburnham,2008,12.93,12.93,12.93,12.93,12.93
011,Ashburnham,2009,13.88,0.00,13.88,13.88,13.88
011,Ashburnham,2010,16.15,0.00,16.15,16.15,16.15
011,Ashburnham,2011,17.15,0.00,17.15,17.15,17.15
011,Ashburnham,2012,18.34,0.00,18.34,18.34,18.34
011,Ashburnham,2013,18.85,0.00,18.85,18.85,18.85
011,Ashburnham,2014,19.83,0.00,19.83,19.83,19.83
011,Ashburnham,2015,22.28,0.00,22.28,22.28,22.28
011,Ashburnham,2016,22.75,0.00,22.75,22.75,22.75
011,Ashburnham,2017,22.97,0.00,22.97,22.97,22.97
012,Ashby,2003,13.39,0.00,13.39,13.39,13.39
012,Ashby,2004,13.48,0.00,13.48,13.48,13.48
012,Ashby,2005,11.81,0.00,11.81,11.81,11.81
012,Ashby,2006,10.64,0.00,10.64,10.64,10.64
012,Ashby,2007,11.70,0.00,11.70,11.70,11.70
012,Ashby,2008,11.53,0.00,11.53,11.53,11.53
012,Ashby,2009,11.96,0.00,11.96,11.96,11.96
012,Ashby,2010,13.64,0.00,13.64,13.64,13.64
012,Ashby,2011,14.90,0.00,14.90,14.90,14.90
012,Ashby,2012,16.42,0.00,16.42,16.42,16.42
012,Ashby,2013,17.47,0.00,17.47,17.47,17.47
012,Ashby,2014,19.10,0.00,19.10,19.10,19.10
012,Ashby,2015,19.68,0.00,19.68,19.68,19.68
012,Ashby,2016,20.10,0.00,20.10,20.10,20.10
012,Ashby,2017,20.83,0.00,20.83,20.83,20.83
013,Ashfield,2003,15.84,0.00,15.84,15.84,15.84
013,Ashfield,2004,15.23,0.00,15.23,15.23,15.23
013,Ashfield,2005,13.42,0.00,13.42,13.42,13.42
013,Ashfield,2006,11.28,0.00,11.28,11.28,11.28
013,Ashfield,2007,11.61,0.00,11.61,11.61,11.61
013,Ashfield,2008,12.48,0.00,12.48,12.48,12.48
013,Ashfield,2009,12.98,0.00,12.98,12.98,12.98
013,Ashfield,2010,13.54,0.00,13.54,13.54,13.54
013,Ashfield,2011,13.94,0.00,13.94,13.94,13.94
013,Ashfield,2012,14.69,0.00,14.69,14.69,14.69
013,Ashfield,2013,15.09,0.00,15.09,15.09,15.09
013,Ashfield,2014,16.16,0.00,16.16,16.16,16.16
013,Ashfield,2015,15.97,0.00,15.97,15.97,15.97
013,Ashfield,2016,16.44,0.00,16.44,16.44,16.44
013,Ashfield,2017,16.22,0.00,16.22,16.22,16.22
014,Ashland,2003,13.32,13.32,13.32,13.32,13.32
014,Ashland,2004,14.01,14.01,14.01,14.01,14.01
014,Ashland,2005,13.74,13.74,13.74,13.74,13.74
014,Ashland,2006,12.66,12.66,12.66,12.66,12.66
014,Ashland,2007,12.60,12.60,12.60,12.60,12.60
014,Ashland,2008,12.92,12.92,12.92,12.92,12.92
014,Ashland,2009,13.86,13.86,13.86,13.86,13.86
014,Ashland,2010,15.10,15.10,15.10,15.10,15.10
014,Ashland,2011,15.91,15.91,15.91,15.91,15.91
014,Ashland,2012,16.57,16.57,16.57,16.57,16.57
014,Ashland,2013,17.14,17.14,17.14,17.14,17.14
014,Ashland,2014,17.39,17.39,17.39,17.39,17.39
014,Ashland,2015,17.30,17.30,17.30,17.30,17.30
014,Ashland,2016,17.00,17.00,17.00,17.00,17.00
014,Ashland,2017,16.70,16.70,16.70,16.70,16.70
015,Athol,2003,16.37,0.00,16.37,16.37,16.37
015,Athol,2004,11.04,0.00,11.04,11.04,11.04
015,Athol,2005,9.74,0.00,9.74,9.74,9.74
015,Athol,2006,9.57,0.00,9.57,9.57,9.57
015,Athol,2007,10.10,0.00,10.10,10.10,10.10
015,Athol,2008,10.43,0.00,10.43,10.43,10.43
015,Athol,2009,11.47,0.00,11.47,11.47,11.47
015,Athol,2010,13.30,0.00,13.30,13.30,13.30
015,Athol,2011,14.14,0.00,14.14,14.14,14.14
015,Athol,2012,15.38,0.00,15.38,15.38,15.38
015,Athol,2013,15.48,0.00,15.48,15.48,15.48
015,Athol,2014,18.43,0.00,18.43,18.43,18.43
015,Athol,2015,19.03,0.00,19.03,19.03,19.03
015,Athol,2016,19.83,0.00,19.83,19.83,19.83
015,Athol,2017,20.40,0.00,20.40,20.40,20.40
016,Attleboro,2003,12.95,0.00,21.64,21.64,21.64
016,Attleboro,2004,13.34,0.00,22.36,22.36,22.36
016,Attleboro,2005,10.09,0.00,16.57,16.57,16.57
016,Attleboro,2006,9.74,0.00,15.86,15.86,15.86
016,Attleboro,2007,9.67,0.00,15.81,15.81,15.81
016,Attleboro,2008,9.44,0.00,15.55,15.55,15.55
016,Attleboro,2009,10.09,0.00,16.77,16.77,16.77
016,Attleboro,2010,11.20,0.00,18.28,18.28,18.28
016,Attleboro,2011,12.20,0.00,19.61,19.61,19.61
016,Attleboro,2012,12.88,0.00,20.30,20.30,20.30
016,Attleboro,2013,13.88,0.00,20.46,20.46,20.46
016,Attleboro,2014,14.85,0.00,21.59,21.59,21.59
016,Attleboro,2015,14.71,0.00,21.31,21.31,21.31
016,Attleboro,2016,14.82,0.00,21.42,21.42,21.42
016,Attleboro,2017,14.55,0.00,20.43,20.43,20.43
017,Auburn,2003,13.28,13.28,23.97,23.97,23.97
017,Auburn,2004,11.70,11.70,21.13,21.13,21.13
017,Auburn,2005,11.85,11.85,21.62,21.62,21.62
017,Auburn,2006,10.48,10.48,21.60,21.60,21.60
017,Auburn,2007,10.41,0.00,20.89,20.89,20.89
017,Auburn,2008,10.91,0.00,21.83,21.83,21.83
017,Auburn,2009,11.77,0.00,23.02,23.02,22.92
017,Auburn,2010,14.34,0.00,24.06,24.06,23.95
017,Auburn,2011,15.38,0.00,24.33,24.33,24.21
017,Auburn,2012,16.05,0.00,23.93,23.93,23.82
017,Auburn,2013,16.70,0.00,23.43,23.43,23.33
017,Auburn,2014,17.29,0.00,23.38,23.38,23.27
017,Auburn,2015,17.26,0.00,23.26,23.26,23.16
017,Auburn,2016,18.09,0.00,24.40,24.40,24.31
017,Auburn,2017,18.34,0.00,24.16,24.16,24.06
018,Avon,2003,12.42,0.00,23.55,23.55,23.45
018,Avon,2004,13.06,0.00,24.55,24.55,24.44
018,Avon,2005,9.48,0.00,20.83,20.83,20.75
018,Avon,2006,9.44,0.00,21.25,21.25,21.17
018,Avon,2007,9.62,0.00,21.65,21.65,21.57
